   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     431  5.25040866E-01  2.75668324E-01  7.59934808E-02  6.66664667E-01  2.38782045E-04  8.78236323E-01 -1.28140189E+00 -1.28118114E+00  0.00000000E+00
     441  5.25060574E-01  2.75689017E-01  7.60048861E-02  6.66664684E-01  2.36809441E-04  8.72958914E-01 -1.28139423E+00 -1.28117369E+00  0.00000000E+00
     451  5.25085285E-01  2.75714973E-01  7.60192053E-02  6.66664654E-01  2.40435278E-04  8.63119560E-01 -1.28141362E+00 -1.28119273E+00  0.00000000E+00
     461  5.25073829E-01  2.75702941E-01  7.60125696E-02  6.66664659E-01  2.39824979E-04  8.70944173E-01 -1.28139188E+00 -1.28117097E+00  0.00000000E+00
     471  5.25070016E-01  2.75698931E-01  7.60103524E-02  6.66664686E-01  2.36626186E-04  8.59969339E-01 -1.28139671E+00 -1.28117592E+00  0.00000000E+00
     481  5.25054895E-01  2.75683076E-01  7.60016358E-02  6.66664573E-01  2.50109345E-04  8.60368010E-01 -1.28138319E+00 -1.28116251E+00  0.00000000E+00
     491  5.25072283E-01  2.75701333E-01  7.60116998E-02  6.66664584E-01  2.48798138E-04  8.74889240E-01 -1.28139941E+00 -1.28117810E+00  0.00000000E+00
     501  5.25051400E-01  2.75679403E-01  7.59996082E-02  6.66664584E-01  2.48761880E-04  8.61025708E-01 -1.28138424E+00 -1.28116290E+00  0.00000000E+00
     511  5.25048055E-01  2.75675888E-01  7.59976670E-02  6.66664598E-01  2.47041208E-04  8.99317747E-01 -1.28140633E+00 -1.28118491E+00  0.00000000E+00
     521  5.25040159E-01  2.75667589E-01  7.59930832E-02  6.66664634E-01  2.42793391E-04  8.98537744E-01 -1.28141614E+00 -1.28119453E+00  0.00000000E+00
     531  5.25021049E-01  2.75647526E-01  7.59820262E-02  6.66664615E-01  2.44995356E-04  8.93254741E-01 -1.28142020E+00 -1.28119918E+00  0.00000000E+00
     541  5.24999570E-01  2.75624974E-01  7.59695958E-02  6.66664607E-01  2.45914745E-04  8.82614641E-01 -1.28141628E+00 -1.28119545E+00  0.00000000E+00
     551  5.24994089E-01  2.75619214E-01  7.59664146E-02  6.66664632E-01  2.42893811E-04  8.79635034E-01 -1.28143317E+00 -1.28121249E+00  0.00000000E+00
     561  5.25001568E-01  2.75627060E-01  7.59707316E-02  6.66664668E-01  2.38687096E-04  8.68956778E-01 -1.28142886E+00 -1.28120832E+00  0.00000000E+00
