#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
    189 -0.050000  0.000000 -0.450000        1    1.28990124E-08  2.68714284E-09  8.06903968E-10  1.32006194E-08
    190  0.000000  0.000000 -0.450000        1    1.04307175E-08  4.19784522E-09  6.29432248E-09  1.28856613E-08
    191  0.050000  0.000000 -0.450000        1    1.30667789E-09  7.05273106E-09  8.69547996E-10  7.22527067E-09
    192  0.100000  0.000000 -0.450000        1    3.64097623E-09  1.22711072E-09  5.09456086E-09  6.38099200E-09
    193  0.150000  0.000000 -0.450000        1    3.89263902E-09  6.87066098E-09  1.69785490E-10  7.89857253E-09
    194  0.200000  0.000000 -0.450000        1    2.36174297E-09  2.11531760E-09  4.11380166E-10  3.19712872E-09
    195  0.250000  0.000000 -0.450000        1    1.96387077E-09  4.58529219E-09  5.99154422E-09  7.79617182E-09
    196  0.300000  0.000000 -0.450000        1    3.76215931E-09  3.05188369E-09  2.53885061E-09  5.46933261E-09
    197  0.350000  0.000000 -0.450000        1    3.15535354E-09  2.52965015E-10  1.51805766E-08  1.55071000E-08
    198  0.400000  0.000000 -0.450000        1    3.69391673E-09  1.17751316E-09  1.25363906E-09  4.07469863E-09
    199  0.450000  0.000000 -0.450000        1    3.00998787E-09  2.79665632E-09  4.04893676E-09  5.76846621E-09
    200  0.500000  0.000000 -0.450000        1    8.75231000E-10  7.96863236E-09  5.86830367E-10  8.03800354E-09
    201 -0.450000  0.050000 -0.450000        1    5.11855049E-10  1.04169712E-08  2.21434717E-10  1.04318895E-08
    202 -0.400000  0.050000 -0.450000        1    2.18615591E-10  2.40691135E-09  3.04425468E-11  2.41701092E-09
    203 -0.350000  0.050000 -0.450000        1    6.03209406E-09  2.17841812E-09  2.02671719E-09  6.72601270E-09
    204 -0.300000  0.050000 -0.450000        1    1.17558418E-09  9.68173363E-09  4.79626863E-09  1.08684018E-08
    205 -0.250000  0.050000 -0.450000        1    5.15816661E-09  2.54903908E-09  9.56377228E-09  1.11610942E-08
    206 -0.200000  0.050000 -0.450000        1    7.27288451E-09  2.71064791E-10  1.32590535E-09  7.39772602E-09
    207 -0.150000  0.050000 -0.450000        1    1.02261750E-09  3.82776836E-09  5.84276019E-10  4.00486399E-09
    208 -0.100000  0.050000 -0.450000        1    5.71843830E-09  2.84486902E-09  8.02231280E-11  6.38750750E-09
    209 -0.050000  0.050000 -0.450000        1    5.85844465E-09  3.24471347E-10  3.82570809E-09  7.00447698E-09
    210  0.000000  0.050000 -0.450000        1    7.38827707E-09  8.01605054E-10  6.28862802E-09  9.73529923E-09
    211  0.050000  0.050000 -0.450000        1    9.95737368E-09  1.36588577E-10  1.25197258E-09  1.00367018E-08
    212  0.100000  0.050000 -0.450000        1    1.76130852E-09  3.57311614E-09  1.20953128E-09  4.16321181E-09
    213  0.150000  0.050000 -0.450000        1    3.05791597E-09  5.20974234E-10  3.47505972E-10  3.12138185E-09
    214  0.200000  0.050000 -0.450000        1    2.58914162E-09  5.05122158E-09  7.77332178E-11  5.67666594E-09
    215  0.250000  0.050000 -0.450000        1    2.23782047E-09  1.34992431E-09  8.58019771E-09  8.96938843E-09
    216  0.300000  0.050000 -0.450000        1    1.44259236E-09  1.40920688E-09  2.48395167E-09  3.19952381E-09
    217  0.350000  0.050000 -0.450000        1    6.37184206E-10  6.19445013E-09  2.25661497E-09  6.62340752E-09
    218  0.400000  0.050000 -0.450000        1    2.04934641E-09  2.66856552E-09  4.91560412E-09  5.95686382E-09
    219  0.450000  0.050000 -0.450000        1    9.35577232E-09  6.11775692E-09  2.60835572E-09  1.14787170E-08
    220  0.500000  0.050000 -0.450000        1    1.14656697E-09  4.43645266E-09  4.78015748E-09  6.62167905E-09
    221 -0.450000  0.100000 -0.450000        1    1.66604194E-09  1.28483429E-09  4.93805401E-09  5.36757602E-09
    222 -0.400000  0.100000 -0.450000        1    1.87364944E-09  1.83089531E-09  1.32247412E-09  2.93456600E-09
    223 -0.350000  0.100000 -0.450000        1    4.00578025E-09  1.51907684E-09  2.03520571E-09  4.74298768E-09
    224 -0.300000  0.100000 -0.450000        1    4.02743786E-09  7.57520103E-10  1.56683671E-09  4.38737617E-09
    225 -0.250000  0.100000 -0.450000        1    6.11453938E-09  1.83891236E-09  1.06283526E-08  1.23988334E-08
    226 -0.200000  0.100000 -0.450000        1    1.00932696E-08  3.66589770E-09  4.18569411E-09  1.15253171E-08
    227 -0.150000  0.100000 -0.450000        1    2.04210020E-09  9.13914797E-10  2.62151683E-09  3.44641320E-09
    228 -0.100000  0.100000 -0.450000        1    7.97262085E-09  5.94401009E-09  2.85452350E-09  1.03461222E-08
    229 -0.050000  0.100000 -0.450000        1    1.41598230E-10  1.58277961E-09  8.36025246E-10  1.79560006E-09
    230  0.000000  0.100000 -0.450000        1    5.21324667E-09  4.27062936E-09  4.15106029E-09  7.91501848E-09
    231  0.050000  0.100000 -0.450000        1    1.40957301E-08  1.60800857E-10  1.42467643E-09  1.41684568E-08
    232  0.100000  0.100000 -0.450000        1    3.49746838E-09  1.76822444E-09  8.57436451E-10  4.01174526E-09
    233  0.150000  0.100000 -0.450000        1    8.89645760E-10  2.51973083E-09  7.14020923E-09  7.62385079E-09
    234  0.200000  0.100000 -0.450000        1    6.13730813E-09  2.24381124E-09  1.05592700E-08  1.24177060E-08
    235  0.250000  0.100000 -0.450000        1    1.50737875E-10  2.56068121E-09  1.52087230E-09  2.98209033E-09
