   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
    1471  3.87329041E-02  1.75120594E-03  4.97385112E-06  4.59373805E-01  1.13236735E-03  2.16668358E-01 -1.25246376E+00 -1.23547081E+00  0.00000000E+00
    1481  3.87477160E-02  1.75145014E-03  4.96545891E-06  4.60436477E-01  1.12829107E-03  2.15913597E-01 -1.25225866E+00 -1.23524492E+00  0.00000000E+00
    1491  3.87190822E-02  1.74824002E-03  4.94263482E-06  4.60942423E-01  1.12381539E-03  2.15339820E-01 -1.25228660E+00 -1.23526023E+00  0.00000000E+00
    1501  3.86847586E-02  1.74779829E-03  4.95821277E-06  4.58970080E-01  1.13380969E-03  2.13335681E-01 -1.25227577E+00 -1.23525330E+00  0.00000000E+00
    1511  3.85864599E-02  1.73982997E-03  4.91960844E-06  4.58254056E-01  1.13212824E-03  2.14763241E-01 -1.25201015E+00 -1.23498265E+00  0.00000000E+00
    1521  3.85435775E-02  1.73471834E-03  4.88630000E-06  4.58746234E-01  1.12398811E-03  2.13788283E-01 -1.25186689E+00 -1.23487088E+00  0.00000000E+00
    1531  3.86237627E-02  1.74072649E-03  4.90707273E-06  4.60190949E-01  1.12317810E-03  2.13652273E-01 -1.25167527E+00 -1.23467302E+00  0.00000000E+00
    1541  3.85449946E-02  1.73409105E-03  4.87426825E-06  4.59688290E-01  1.12066485E-03  2.11717554E-01 -1.25174644E+00 -1.23475613E+00  0.00000000E+00
    1551  3.84628885E-02  1.72616625E-03  4.83306665E-06  4.59324999E-01  1.11343673E-03  2.10589071E-01 -1.25156631E+00 -1.23457693E+00  0.00000000E+00
    1561  3.84356580E-02  1.72322230E-03  4.80915449E-06  4.60160250E-01  1.10960172E-03  2.09439064E-01 -1.25149916E+00 -1.23450444E+00  0.00000000E+00
