   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
    1371  2.95809975E-02  1.03201542E-03  1.79265018E-06  4.38949546E-01  1.81323118E-02  8.00470960E-01 -3.21091424E-01 -3.18413897E-01  0.00000000E+00
    1381  2.95638363E-02  1.02984089E-03  1.78182535E-06  4.39979894E-01  1.79983764E-02  8.02081205E-01 -3.21076427E-01 -3.18398278E-01  0.00000000E+00
    1391  2.94681362E-02  1.02341081E-03  1.76310260E-06  4.38879246E-01  1.79081988E-02  7.98742492E-01 -3.21089376E-01 -3.18411584E-01  0.00000000E+00
    1401  2.94813757E-02  1.02462041E-03  1.76810303E-06  4.38615645E-01  1.79577677E-02  7.97431412E-01 -3.21094251E-01 -3.18417190E-01  0.00000000E+00
    1411  2.94681263E-02  1.02353327E-03  1.76126324E-06  4.39598757E-01  1.79224107E-02  8.00806365E-01 -3.21055058E-01 -3.18379077E-01  0.00000000E+00
    1421  2.95208991E-02  1.02543634E-03  1.75844333E-06  4.42570803E-01  1.77826542E-02  7.95877597E-01 -3.21046122E-01 -3.18370503E-01  0.00000000E+00
    1431  2.96519513E-02  1.03511002E-03  1.79320529E-06  4.42126498E-01  1.80043058E-02  8.06216224E-01 -3.21092512E-01 -3.18416847E-01  0.00000000E+00
    1441  2.95794857E-02  1.03015119E-03  1.77758437E-06  4.41649346E-01  1.79273108E-02  8.03072776E-01 -3.21087205E-01 -3.18411389E-01  0.00000000E+00
    1451  2.96110704E-02  1.03122615E-03  1.77602097E-06  4.43302850E-01  1.78355337E-02  8.00456346E-01 -3.21049716E-01 -3.18372490E-01  0.00000000E+00
    1461  2.96391243E-02  1.03285665E-03  1.77804338E-06  4.44427168E-01  1.78318717E-02  8.04312977E-01 -3.21081498E-01 -3.18404883E-01  0.00000000E+00
    1471  2.95901488E-02  1.02938420E-03  1.76621666E-06  4.44392979E-01  1.77658406E-02  7.99159719E-01 -3.21114509E-01 -3.18439353E-01  0.00000000E+00
    1481  2.96798679E-02  1.03505207E-03  1.78060414E-06  4.45984744E-01  1.78062930E-02  7.99470932E-01 -3.21116048E-01 -3.18441309E-01  0.00000000E+00
    1491  2.96738235E-02  1.03367573E-03  1.77192043E-06  4.47217457E-01  1.76887550E-02  8.01963779E-01 -3.21117057E-01 -3.18440155E-01  0.00000000E+00
    1501  2.96377439E-02  1.03147098E-03  1.76548045E-06  4.46869469E-01  1.76812681E-02  7.98653383E-01 -3.21135576E-01 -3.18458181E-01  0.00000000E+00
    1511  2.96246549E-02  1.03115607E-03  1.76505285E-06  4.46665625E-01  1.77344917E-02  7.94961080E-01 -3.21143247E-01 -3.18466405E-01  0.00000000E+00
    1521  2.96269399E-02  1.03083786E-03  1.76181589E-06  4.47339351E-01  1.76820978E-02  7.89754985E-01 -3.21161164E-01 -3.18485132E-01  0.00000000E+00
