   #Iter                 Tot                 Exc                 Ani                  DM                  PD               BiqDM                  BQ                 Dip              Zeeman                 LSF                Chir                Ring                  SA
    4200 -2.72380730E-01 -2.70050455E-01  0.00000000E+00 -2.33143955E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.16506202E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4250 -2.74068498E-01 -2.71399888E-01  0.00000000E+00 -2.66879833E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.88671343E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4300 -2.76920436E-01 -2.74776527E-01  0.00000000E+00 -2.14518113E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.27290309E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4350 -2.74352172E-01 -2.71615948E-01  0.00000000E+00 -2.73588696E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -3.37666952E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4400 -2.75792125E-01 -2.73183327E-01  0.00000000E+00 -2.61013739E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.33934108E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4450 -2.76009616E-01 -2.73879599E-01  0.00000000E+00 -2.13055941E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  5.41750929E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4500 -2.70567517E-01 -2.68350316E-01  0.00000000E+00 -2.21648688E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -7.13826020E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4550 -2.72910475E-01 -2.70325730E-01  0.00000000E+00 -2.58766786E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.92279052E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4600 -2.84016934E-01 -2.80808904E-01  0.00000000E+00 -3.21115612E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.12623352E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4650 -2.70214541E-01 -2.67875050E-01  0.00000000E+00 -2.34035665E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  8.66128373E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
