   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
    1471  5.67845946E-02  3.81818916E-03  2.47568213E-05  4.33944850E-01  5.35753665E-03  6.98109435E-01 -2.56837538E+00 -2.53521621E+00  0.00000000E+00
    1481  5.68889778E-02  3.83877473E-03  2.53004386E-05  4.27702907E-01  5.43622557E-03  6.94328883E-01 -2.56823342E+00 -2.53509839E+00  0.00000000E+00
    1491  5.68984370E-02  3.83956772E-03  2.52661379E-05  4.28714838E-01  5.43366858E-03  6.89831150E-01 -2.56810810E+00 -2.53495953E+00  0.00000000E+00
    1501  5.68215091E-02  3.82611074E-03  2.50663541E-05  4.29238273E-01  5.39117690E-03  6.86971263E-01 -2.56794689E+00 -2.53479899E+00  0.00000000E+00
    1511  5.67586508E-02  3.81861658E-03  2.49613901E-05  4.29395219E-01  5.38797604E-03  6.88312313E-01 -2.56795556E+00 -2.53479981E+00  0.00000000E+00
    1521  5.67767168E-02  3.82067239E-03  2.49496382E-05  4.30277466E-01  5.38801836E-03  6.97475770E-01 -2.56810434E+00 -2.53493298E+00  0.00000000E+00
    1531  5.68001271E-02  3.82327702E-03  2.49322687E-05  4.31449544E-01  5.38752883E-03  6.92525638E-01 -2.56804109E+00 -2.53487897E+00  0.00000000E+00
    1541  5.65961981E-02  3.79925101E-03  2.46941364E-05  4.29735137E-01  5.37939635E-03  6.94615516E-01 -2.56815386E+00 -2.53499020E+00  0.00000000E+00
    1551  5.65012867E-02  3.78553848E-03  2.45115433E-05  4.29843509E-01  5.35252018E-03  6.90345665E-01 -2.56810480E+00 -2.53492639E+00  0.00000000E+00
    1561  5.64796693E-02  3.78440187E-03  2.44858082E-05  4.30099955E-01  5.36430333E-03  6.84806773E-01 -2.56830186E+00 -2.53512779E+00  0.00000000E+00
